,Abadia do dourados,Arapuá,Araxá,Campos Altos,Carmo do paranaíba,Cascalho Rico,Coromandel,Cruzeiro da Fortaleza,Douradoquara,Estrela do Sul,Grupiara,Guimarânia,Ibiá,Iraí de Minas,Lagoa formosa,Lagoa Grande,Matutina,Monte Carmelo,Patos de minas,Patrocínio,Pedrinópolis,Perdizes,Pratinha,Presidente Olegário,Rio paranaíba,Romaria,Sacramento,Santa Juliana,Santa Rosa da Serra,São Gonçal do Abaeté,São gotardo,Serra do salitre,Tapira,Tiros,Varjão de minas
Abadia do dourados,0.0,652.3349999999997,595.9708333333333,715.7675,564.5275,299.3183333333333,80.81083333333333,368.2766666666666,115.84916666666666,191.3475,209.97583333333336,280.90833333333336,562.0616666666666,215.475,471.29333333333335,529.8258333333333,685.5041666666666,98.595,414.3525,304.92333333333335,450.915,483.6616666666666,670.6275,426.6675,575.1258333333334,158.42833333333334,581.0333333333333,406.6975,818.6775,690.765,684.9758333333333,421.5975,755.2325,706.0083333333333,602.0025
Arapuá,641.5116666666668,0.0,479.3250000000001,278.93416666666667,95.05333333333331,788.8433333333332,556.5600000000001,332.8516666666667,751.2075,680.8725000000001,759.8433333333332,352.1275,276.245,595.2,172.21083333333334,535.1358333333333,148.37916666666666,648.6758333333333,253.9766666666667,403.6133333333333,693.3491666666666,604.2141666666666,399.3083333333334,321.0075,113.26583333333332,637.3908333333333,726.4633333333334,700.875,293.28166666666664,498.95916666666665,159.57166666666666,281.2708333333333,638.5866666666667,106.71416666666669,410.19916666666666
Araxá,602.1650000000001,507.4358333333333,0.0,286.9,392.8333333333333,676.945,517.2216666666666,296.4791666666667,680.095,568.9741666666666,647.945,431.2716666666667,206.82916666666668,447.81000000000006,501.9325,757.5699999999999,460.1516666666666,536.7750000000001,444.9916666666667,312.3483333333333,225.7308333333333,163.7516666666667,241.7575,543.4416666666666,393.79083333333335,480.7916666666667,255.35583333333332,233.2483333333333,385.2408333333333,721.4016666666666,396.5541666666667,230.40916666666664,167.47916666666669,526.1233333333332,632.6391666666666
Campos Altos,715.2583333333333,279.2975,283.71916666666664,0.0,309.7083333333333,804.4225,630.315,409.56416666666667,807.5725,696.4516666666666,775.4225,544.3566666666667,164.95833333333331,610.7708333333333,386.86,749.785,257.2825,664.2525,468.63166666666666,425.4333333333333,497.74916666666667,435.77,125.10416666666669,535.6624999999999,229.94,652.9675000000001,530.855,505.2666666666667,115.77333333333333,713.6166666666667,193.68500000000003,343.5025,442.9866666666667,323.25416666666666,624.8541666666665
Carmo do paranaíba,569.1908333333333,95.295,390.7391666666666,307.7891666666667,0.0,716.5225,484.2475,163.64083333333335,678.8866666666665,608.56,687.5225,279.8066666666667,305.0975,522.8791666666667,99.89,462.81500000000005,177.23416666666668,576.3608333333334,181.66416666666663,353.16083333333336,637.4183333333333,531.8933333333333,428.1633333333333,248.695,142.11833333333334,565.0783333333334,637.8774999999999,644.9358333333333,322.13416666666666,426.6466666666667,188.42416666666665,164.83166666666668,550.0008333333334,163.71833333333333,337.8841666666667
Cascalho Rico,299.2033333333333,790.0908333333333,675.6316666666667,808.4458333333333,717.0333333333333,0.0,370.5916666666667,520.7908333333334,350.5408333333333,121.16,230.5558333333333,468.2641666666667,654.7316666666667,262.32,623.8075,879.4391666666667,778.1825,207.22333333333336,566.8666666666667,384.4966666666666,497.76,543.6241666666667,763.3033333333333,665.3166666666667,667.8041666666667,205.265,627.8783333333333,453.5425,911.3558333333334,843.2708333333333,777.6458333333334,514.2675,840.75,844.1458333333333,754.5083333333334
Coromandel,77.66833333333334,556.9025,515.2908333333334,635.0958333333333,483.8475000000001,370.83333333333326,0.0,287.6025,187.36416666666668,262.8625,281.49083333333334,200.23666666666668,481.3816666666667,286.99,390.6216666666666,470.5841666666667,604.8325,170.11833333333334,333.68083333333334,224.2516666666667,508.5091666666667,402.99,589.9533333333334,432.1308333333333,494.45416666666665,229.94583333333333,646.6249999999999,516.035,738.0058333333333,610.0825000000001,604.2958333333333,340.915,674.5608333333332,625.3283333333334,521.3308333333333
Cruzeiro da Fortaleza,374.445,332.9208333333333,294.5475,414.3441666666666,163.55083333333332,521.7875,289.50166666666667,0.0,484.1408333333333,413.8166666666666,492.7791666666666,116.25416666666666,260.6383333333333,328.1358333333334,222.97000000000003,478.61,329.6625,381.6175,166.02916666666667,158.4175,442.675,337.1475,369.20166666666665,264.4791666666667,219.28416666666664,370.335,541.6833333333333,450.2008333333333,462.8383333333333,442.4416666666666,329.12833333333333,68.64,453.8066666666666,395.6258333333334,353.6791666666667
Douradoquara,116.12416666666668,744.2866666666666,678.8508333333333,811.6650000000001,671.2291666666666,349.3825,187.5125,474.9758333333333,0.0,241.40916666666664,107.3225,387.61,657.9591666666666,265.53916666666663,578.0033333333333,636.5274999999999,781.4016666666666,148.6675,521.0541666666667,387.7216666666666,500.985,546.8433333333334,766.5225,533.3775,671.0208333333334,208.4925,631.1058333333333,456.76166666666666,914.575,797.4641666666668,780.8733333333333,517.4925000000001,843.9691666666668,812.7099999999999,708.7041666666667
Estrela do Sul,191.2833333333333,682.1816666666666,567.7141666666666,700.5283333333333,609.1241666666666,120.8825,262.6716666666666,412.8708333333334,165.13416666666666,0.0,110.81583333333332,360.355,546.8141666666667,154.4025,515.89,771.5274999999999,670.265,99.30583333333334,458.94916666666666,276.58500000000004,389.84833333333336,435.7066666666666,655.3858333333333,557.3991666666666,559.8841666666666,97.35583333333334,519.9608333333333,345.625,803.4383333333333,735.3591666666666,669.7366666666667,406.3558333333334,732.8325,736.2366666666667,646.5991666666666
Grupiara,210.88,762.62,648.1633333333334,780.9691666666666,689.5649999999999,231.48583333333332,282.2683333333333,493.31166666666667,108.91583333333334,112.13416666666669,0.0,440.7958333333333,627.2633333333333,234.84333333333333,596.3308333333333,731.2858333333334,750.7033333333334,126.64083333333332,539.39,357.0258333333333,470.2891666666667,516.1475,735.835,637.8483333333334,640.3333333333333,177.79666666666668,600.41,426.0658333333334,883.8875,815.8000000000001,750.1774999999999,486.7966666666666,813.2733333333333,816.6775,727.04
Guimarânia,284.7333333333333,385.285,406.2416666666667,526.0383333333333,312.2275,484.8225,199.79,115.96,394.4291666666667,376.8491666666667,455.81166666666667,0.0,372.3325,291.1683333333333,219.00166666666664,474.6333333333333,441.3566666666667,344.6525,162.0525,121.45,405.7075,300.1825,480.89583333333337,260.5108333333333,330.9783333333333,333.36749999999995,543.8233333333334,413.2358333333333,574.5325,438.465,440.8225,180.33416666666665,565.5033333333333,453.70833333333337,349.70250000000004
Ibiá,564.9933333333333,277.7991666666667,204.02666666666667,169.14416666666665,308.21,654.1600000000001,480.05000000000007,259.2991666666667,657.3075,546.1866666666666,625.1575,394.0916666666667,0.0,460.50583333333327,385.3675,720.3925,255.78416666666664,513.99,407.81166666666667,275.1683333333333,418.0508333333333,356.07166666666666,124.00166666666668,506.27,228.4391666666667,502.705,451.165,425.57666666666665,285.27750000000003,684.2241666666666,192.18416666666667,193.2375,363.2883333333333,321.7558333333333,595.4616666666666
Iraí de Minas,214.185,594.5741666666667,448.6191666666667,612.9208333333333,521.5166666666667,262.375,285.5733333333333,325.2658333333334,265.525,154.40416666666667,233.3725,272.7475,459.215,0.0,428.2825,683.9224999999999,582.6575,122.205,371.3416666666666,188.9775,270.745,348.09916666666663,567.7866666666666,469.8,472.2791666666667,80.6675,400.8633333333334,226.53,715.8391666666668,647.7541666666666,582.1291666666667,318.7508333333334,613.735,648.6291666666667,558.9916666666667
Lagoa formosa,476.2525,174.66,436.1291666666667,387.1541666666667,101.6025,623.5866666666667,391.3091666666666,159.17833333333334,585.9483333333334,515.6133333333333,594.5841666666666,186.8683333333333,384.4708333333333,429.9408333333333,0.0,369.8791666666667,256.5991666666667,483.4166666666667,88.7175,260.21666666666664,544.4741666666666,438.955,507.5283333333333,155.7483333333333,221.4833333333333,472.13166666666666,682.5983333333334,552.0,401.49916666666667,333.71083333333337,267.7891666666667,210.21916666666667,595.3883333333333,243.08333333333331,244.94833333333335
Lagoa Grande,525.5008333333333,535.8299999999999,753.535,748.3158333333333,462.7641666666667,876.2533333333333,469.8333333333333,476.595,635.1966666666666,768.2824999999999,729.3233333333333,439.5375,719.6258333333334,682.6016666666667,369.5383333333333,0.0,617.7608333333333,617.9508333333333,329.90666666666664,512.8833333333333,797.1408333333334,691.6241666666666,828.1999999999999,230.64916666666664,582.6475,724.8008333333332,935.2566666666668,804.6666666666666,762.6608333333334,561.535,628.9591666666666,527.6275,912.8049999999998,604.245,472.7725
Matutina,724.16,147.30166666666668,457.68,257.2891666666667,177.71249999999998,779.8183333333334,639.2166666666667,330.0733333333334,782.9741666666667,671.8533333333332,750.8158333333333,434.7866666666666,254.59750000000005,586.1724999999999,254.87,617.7866666666667,0.0,639.6566666666668,336.6358333333333,400.835,671.7016666666666,579.3325,377.6633333333334,403.6666666666666,110.4875,628.3716666666667,704.8158333333333,679.23,151.36,581.6183333333333,69.50833333333333,278.495,616.9391666666667,83.06416666666667,492.8558333333333
