,Abadia do dourados,Arapuá,Araxá,Campos Altos,Carmo do paranaíba,Cascalho Rico,Coromandel,Cruzeiro da Fortaleza,Douradoquara,Estrela do Sul,Grupiara,Guimarânia,Ibiá,Iraí de Minas,Lagoa formosa,Lagoa Grande,Matutina,Monte Carmelo,Patos de minas,Patrocínio,Pedrinópolis,Perdizes,Pratinha,Presidente Olegário,Rio paranaíba,Romaria,Sacramento,Santa Juliana,Santa Rosa da Serra,São Gonçal do Abaeté,São gotardo,Serra do salitre,Tapira,Tiros,Varjão de minas
Abadia do dourados,0.0,220.67399999999986,203.075,243.967,192.421,102.434,26.631,124.754,38.813,64.829,69.787,92.84,191.628,73.28,160.484,179.277,232.275,32.638,141.441,102.726,153.926,165.658,228.751,142.697,195.797,53.228,196.79,138.419,280.041,236.386,233.397,142.189,257.033,240.1,205.661
Arapuá,220.418,0.0,164.18,96.207,31.798,272.214,191.744,114.824,257.623,234.609,260.224,120.211,95.358,204.46,59.161,184.031,48.815,223.167,86.384,137.962,238.573,208.539,136.58,109.083,38.653,219.553,249.192,240.99,100.676,172.057,54.032,97.335,218.138,34.219,141.333
Araxá,205.636,175.221,0.0,96.85,131.41,232.978,176.962,101.115,232.998,195.373,220.988,147.782,69.805,153.084,172.323,260.198,155.634,183.93,153.28,106.166,77.309,55.274,81.633,185.25,135.733,164.72,87.399,79.726,130.283,248.224,134.025,78.987,56.345,178.426,217.499
Campos Altos,244.95,96.129,96.551,0.0,106.48,277.019,216.276,140.429,277.039,239.414,265.029,187.096,55.89,209.265,133.844,258.714,87.113,227.971,161.066,145.48,170.943,148.908,39.125,183.765,79.086,224.357,181.562,173.36,38.226,246.74,65.504,118.301,150.508,109.905,216.015
Carmo do paranaíba,194.923,31.938,131.079,106.129,0.0,246.719,166.249,51.623,232.128,209.114,234.729,94.716,105.279,178.965,33.666,158.536,58.737,197.671,60.889,120.111,219.294,183.044,146.502,83.588,48.574,194.058,216.091,221.711,110.597,146.562,63.953,53.106,185.037,53.864,115.837
Cascalho Rico,102.748,272.373,232.586,277.875,246.62,0.0,126.45,178.953,120.113,41.414,78.299,159.739,225.536,90.568,214.683,302.559,266.183,71.046,195.64,132.262,171.214,188.633,262.658,227.61,229.705,70.516,214.078,155.707,313.949,290.585,267.305,176.097,288.54,288.975,259.86
Coromandel,25.494,191.481,176.383,217.275,165.729,126.32,0.0,98.061,62.699,88.715,93.673,66.148,164.936,97.166,133.792,158.787,205.583,56.524,114.749,76.034,175.217,138.966,202.058,146.719,169.105,77.115,222.39,177.634,253.349,209.693,206.705,115.496,230.341,213.408,178.969
Cruzeiro da Fortaleza,126.628,114.725,100.559,141.451,51.367,178.425,97.954,0.0,163.833,140.82,166.435,36.285,89.112,110.671,74.668,162.544,111.715,129.377,55.625,51.817,151.0,114.749,126.234,87.595,75.237,125.764,185.57,153.417,159.482,150.57,112.838,22.586,154.516,134.507,119.845
Douradoquara,39.043,254.288,232.437,277.726,228.535,119.573,62.745,160.867,0.0,81.967,32.219,128.954,225.387,90.419,196.598,215.391,266.034,49.777,177.555,132.112,171.064,188.484,262.509,178.811,229.555,70.367,213.929,155.558,313.8,272.499,267.156,175.947,288.391,276.214,241.775
Estrela do Sul,65.13,234.756,194.969,240.258,209.003,41.313,88.832,141.335,52.537,0.0,37.213,122.122,187.919,52.951,177.066,264.941,228.566,33.429,158.023,94.644,133.596,151.016,225.041,189.993,192.087,32.899,176.461,118.09,276.332,252.967,229.688,138.479,250.923,251.358,222.243
