,Abadia do dourados,Arapuá,Araxá,Campos Altos,Carmo do paranaíba,Cascalho Rico,Coromandel,Cruzeiro da Fortaleza,Douradoquara,Estrela do Sul,Grupiara,Guimarânia,Ibiá,Iraí de Minas,Lagoa formosa,Lagoa Grande,Matutina,Monte Carmelo,Patos de minas,Patrocínio,Pedrinópolis,Perdizes,Pratinha,Presidente Olegário,Rio paranaíba,Romaria,Sacramento,Santa Juliana,Santa Rosa da Serra,São Gonçal do Abaeté,São gotardo,Serra do salitre,Tapira,Tiros,Varjão de minas
Abadia do dourados,0.0,201.3,176.56666666666666,211.7,166.95,86.46666666666667,28.466666666666665,112.78333333333332,37.63333333333333,58.55,71.01666666666667,97.61666666666666,165.98333333333332,64.55,140.16666666666666,163.26666666666668,209.63333333333333,34.0,121.5,96.21666666666668,132.2,139.03333333333333,197.5,139.85,171.26666666666668,50.71666666666667,178.11666666666667,121.3,237.15,199.6,202.96666666666667,132.25,225.3,211.51666666666668,175.7
Arapuá,180.9333333333333,0.0,137.75,76.83333333333333,31.116666666666667,216.61666666666667,154.4,91.58333333333331,214.3,188.7,218.56666666666663,103.2,75.7,168.1,48.61666666666667,150.11666666666667,52.68333333333333,181.51666666666668,76.03333333333333,117.41666666666669,193.83333333333331,165.73333333333332,115.71666666666668,96.6,33.266666666666666,177.01666666666668,206.96666666666667,196.8,83.18333333333334,137.63333333333333,48.98333333333333,75.86666666666666,186.4833333333333,42.333333333333336,113.73333333333332
Araxá,176.15,138.76666666666668,0.0,89.55,128.61666666666667,189.0,149.63333333333333,87.38333333333334,195.2,161.08333333333334,190.95,123.63333333333334,64.63333333333334,130.2,142.25,214.15,142.13333333333333,153.9,123.58333333333331,93.86666666666666,64.91666666666667,51.13333333333333,75.35,160.63333333333333,108.91666666666669,137.98333333333332,73.71666666666667,67.86666666666666,119.06666666666666,201.6833333333333,122.98333333333332,65.88333333333334,53.23333333333333,160.11666666666667,177.78333333333333
Campos Altos,205.76666666666668,77.95,84.68333333333334,0.0,87.01666666666667,223.75,179.25,116.98333333333332,229.95,195.83333333333331,225.7,153.23333333333332,50.46666666666667,175.21666666666667,104.5,206.0,79.0,188.65,131.93333333333334,123.46666666666668,140.78333333333333,127.0,54.583333333333336,152.5,64.45,184.15,153.9,143.73333333333332,40.41666666666666,193.53333333333333,59.85,95.5,133.43333333333334,96.98333333333332,169.63333333333333
Carmo do paranaíba,163.76666666666668,30.9,126.08333333333331,84.93333333333334,0.0,199.45,137.25,69.16666666666667,197.13333333333333,171.55,201.4,86.03333333333333,83.8,150.93333333333334,31.45,132.95,60.78333333333333,164.36666666666667,58.88333333333333,105.76666666666668,178.36666666666667,148.56666666666666,123.81666666666666,79.45,41.36666666666667,159.86666666666667,195.3,181.31666666666663,91.28333333333332,120.48333333333332,57.083333333333336,64.13333333333334,174.81666666666666,58.11666666666667,96.58333333333331
Cascalho Rico,84.66666666666667,218.31666666666663,188.33333333333331,227.51666666666668,200.96666666666667,0.0,108.93333333333334,146.81666666666666,100.51666666666668,35.25,69.61666666666666,137.83333333333334,181.78333333333333,71.8,174.2,246.08333333333331,225.45,59.21666666666667,155.53333333333333,107.68333333333334,139.45,144.08333333333334,213.31666666666663,192.58333333333331,187.08333333333331,57.95,185.36666666666667,128.55,252.96666666666667,233.61666666666667,218.76666666666668,148.05,238.8,243.41666666666663,209.71666666666667
Coromandel,27.866666666666667,156.4,148.66666666666666,183.81666666666663,139.05,110.06666666666666,0.0,84.9,61.23333333333333,82.15,94.61666666666666,69.73333333333333,138.08333333333334,88.15,112.28333333333332,147.23333333333332,181.75,57.61666666666667,93.61666666666666,68.33333333333333,140.93333333333334,111.15,169.61666666666667,130.66666666666666,143.38333333333333,74.31666666666666,181.3,143.9,209.26666666666668,171.7,175.06666666666666,104.35,197.41666666666663,183.61666666666667,147.81666666666666
Cruzeiro da Fortaleza,115.75,92.21666666666668,86.3,121.43333333333334,70.26666666666667,151.45,89.23333333333333,0.0,149.11666666666667,123.53333333333332,153.38333333333333,51.083333333333336,75.71666666666667,102.91666666666669,72.6,144.5,100.75,116.35,53.93333333333333,57.75,130.35,100.55,107.23333333333332,90.98333333333332,62.38333333333333,111.85,155.51666666666668,133.31666666666666,128.26666666666668,132.03333333333333,94.06666666666666,24.35,135.03333333333333,118.71666666666668,108.13333333333334
Douradoquara,37.03333333333333,217.13333333333333,195.51666666666668,234.7,199.78333333333333,100.9,61.3,145.61666666666667,0.0,72.98333333333333,53.55,130.45,188.9833333333333,78.98333333333333,173.01666666666668,196.1,232.63333333333333,48.45,154.33333333333334,114.88333333333334,146.65,151.26666666666668,220.5,172.7,194.26666666666668,65.15,192.56666666666663,135.73333333333332,260.15,232.4333333333333,225.96666666666667,155.25,245.9833333333333,244.35,208.53333333333333
Estrela do Sul,56.91666666666666,190.58333333333331,160.58333333333334,199.76666666666668,173.23333333333332,35.2,81.18333333333334,119.06666666666666,67.58333333333333,0.0,35.56666666666667,110.1,154.03333333333333,44.05,146.45,218.35,197.7,31.466666666666665,127.78333333333332,79.95,111.71666666666668,116.33333333333331,185.56666666666663,164.83333333333334,159.33333333333334,30.216666666666665,157.61666666666667,100.8,225.21666666666667,205.88333333333333,191.03333333333333,120.31666666666666,211.05,215.6833333333333,181.9833333333333
